ID,Plan_sku,Nombre,tamaño,descripción,precio,url_foto_marca,billing_type
23,1MonthTamponSuperOB34900,Tampon super o.b.,1,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa.",$34.900,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,1Mes
24,1MonthTamponMedioOB34900,Tampon medio o.b.,2,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$34.900,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,1Mes
25,1MonthTamponMiniOB34900,Tampon mini o.b.,3,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$34.900,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,1Mes
26,1MonthTamponMedioApliOB34900,Tampon medio con aplicador o.b.,4,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$34.900,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,1Mes
27,1MonthTamponSuperApliOB34900,Tampon super con aplicador o.b.,5,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$34.900,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,1Mes
28,1MonthTamponSuperNosotras34900,Tampon super Nosotras,1,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,1Mes
29,1MonthTamponRegularNosotras34900,Tampon regular Nosotras,6,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,1Mes
30,1MonthTamponMiniNosotras34900,Tampon mini Nosotras,3,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,1Mes
31,1MonthTamponRegularApliNosotras34900,Tampon regular con aplicador Nosotras,7,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,1Mes
32,1MonthTamponSuperApliNosotras34900,Tampon super con aplicador Nosotras,5,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,1Mes
