ID,Plan_sku,Nombre,tamaño,descripción,precio,url_foto_marca
1,TamponSuperOB34900,Tampon super o.b.,1,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa.", $34.900,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png
2,TamponMedioOB34900,Tampon medio o.b.,2,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png
3,TamponMiniOB34900,Tampon mini o.b.,3,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png
4,TamponMedioApliOB34900,Tampon medio con aplicador o.b.,4,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png
5,TamponSuperApliOB34900,Tampon super con aplicador o.b.,5,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png
6,TamponSuperNosotras34900,Tampon super Nosotras,1,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png
7,TamponRegularNosotras34900,Tampon regular Nosotras,6,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png
8,TamponMiniNosotras34900,Tampon mini Nosotras,3,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png
9,TamponRegularApliNosotras34900,Tampon regular con aplicador Nosotras,7,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png
10,TamponSuperApliNosotras34900,Tampon super con aplicador Nosotras,5,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png
11,TamponMedioKotex34900,Tampon medio Kotex,2,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png
12,TamponSuperKotex34900,Tampon super Kotex,1,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png
13,ToallaSensitivNosotras34900,Toalla sensiti v Nosotras,8,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png
14,ToallaPlusClasicaNosotras34900,Toalla plus clasica Nosotras,9,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png
15,ToallaUltraInvisibleNosotras34900,Toalla ultra invisible Nosotras,10,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png
16,ToallaInvisibleRapigelNosotras34900,Toalla invisible rapisec Nosotras,11,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png
17,ToallaTangaBrasileraNosotras34900,Toalla tanga brasilera Nosotras,12,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png
18,ToallaPlusNosotras34900,Toalla plus Nosotras,13,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png
19,ToallaUltradelgadaStayfree34900,Toalla ultradelgada Stayfree,14,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://vignette.wikia.nocookie.net/logopedia/images/9/98/Stayfree_logo.gif/revision/latest?cb=20140305082515
20,ToallaNormalStayfree34900,Toalla Normal Stayfree,15,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://vignette.wikia.nocookie.net/logopedia/images/9/98/Stayfree_logo.gif/revision/latest?cb=20140305082515
21,ToallaMallaKotex34900,Toalla Malla Kotex,16,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png
22,ToallaSportKotex34900,Toalla Sport Kotex,17,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa", $34.900,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png
